
room no is 0
 price is 20000
 room_type is AC room
room no is 1
 price is 20000
 room_type is AC room
room no is 2
 price is 20000
 room_type is AC room
room no is 3
 price is 20000
 room_type is AC room
room no is 4
 price is 20000
 room_type is AC room
room no is 5
 price is 20000
 room_type is AC room
room no is 6
 price is 20000
 room_type is AC room
room no is 7
 price is 20000
 room_type is AC room
room no is 8
 price is 20000
 room_type is AC room
room no is 9
 price is 20000
 room_type is AC room
room no is 20
 price is 3000
 room_type is AC room
